provinsi,nik,nama,jenis_kelamin,gol_darah,alamat,kel_desa,kecamatan,agama,status_pernikahan,pekerjaan,kewarganegaraan,tempat_lahir,tanggal_lahir,penghasilan
Kalimantan Selatan,6306234567890318,Larasati Wijaya,Perempuan,AB,Jl.Merdeka No.6,Banjarmasin Selatan,Banjarmasin Kota,Kristen,Menikah,Pegawai Negeri,WNI,Banjarmasin,1985-06-06,7300000
Kalimantan Selatan,6307234567890319,Mega Santoso,Perempuan,O,Jl.Sudirman No.7,Banjarmasin Timur,Banjarmasin Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Banjarmasin,1986-07-07,8800000
Kalimantan Selatan,6308234567890320,Nadia Wijaya,Perempuan,B,Jl.Teuku Umar No.8,Banjarmasin Barat,Banjarmasin Kota,Buddha,Menikah,Pelajar,WNI,Banjarmasin,1987-08-08,500000
Kalimantan Selatan,6309234567890321,Oscar Santoso,Laki-laki,O,Jl.Merdeka No.9,Banjarmasin Utara,Banjarmasin Kota,Islam,Menikah,Petani,WNI,Banjarmasin,1988-09-09,1800000
Kalimantan Selatan,6310234567890322,Putri Handayani,Perempuan,A,Jl.Sudirman No.10,Banjarmasin Selatan,Banjarmasin Kota,Kristen,Belum Menikah,Pegawai Negeri,WNI,Banjarmasin,1989-10-10,3700000
Kalimantan Tengah,6201234567890303,Xaverius Wijaya,Laki-laki,AB,Jl.Merdeka No.1,Jekan Raya,Palangka Raya Kota,Hindu,Menikah,Pelajar,WNI,Palangka Raya,1980-01-01,200000
Kalimantan Tengah,6202234567890304,Yanti Setiawati,Perempuan,A,Jl.Sudirman No.2,Pahandut,Palangka Raya Kota,Buddha,Belum Menikah,Pegawai Negeri,WNI,Palangka Raya,1981-02-02,5700000
Kalimantan Tengah,6203234567890305,Zainal Arifin,Laki-laki,O,Jl.Teuku Umar No.3,Bukit Batu,Palangka Raya Kota,Islam,Menikah,Wiraswasta,WNI,Palangka Raya,1982-03-03,6000000
Kalimantan Tengah,6204234567890306,Ahmad Santoso,Laki-laki,B,Jl.Merdeka No.4,Jekan Raya,Palangka Raya Kota,Kristen,Belum Menikah,Pelajar,WNI,Palangka Raya,1983-04-04,300000
Kalimantan Tengah,6205234567890307,Ani Pranoto,Perempuan,AB,Jl.Sudirman No.5,Pahandut,Palangka Raya Kota,Hindu,Menikah,Pegawai Negeri,WNI,Palangka Raya,1984-05-05,3000000
Kalimantan Tengah,6206234567890308,Budi Wijaya,Laki-laki,O,Jl.Teuku Umar No.6,Bukit Batu,Palangka Raya Kota,Buddha,Belum Menikah,Wiraswasta,WNI,Palangka Raya,1985-06-06,8700000
Kalimantan Tengah,6207234567890309,Citra Handayani,Perempuan,A,Jl.Merdeka No.7,Jekan Raya,Palangka Raya Kota,Islam,Menikah,Pelajar,WNI,Palangka Raya,1986-07-07,400000
Kalimantan Tengah,6208234567890310,Darma Setiawan,Laki-laki,B,Jl.Sudirman No.8,Pahandut,Palangka Raya Kota,Kristen,Belum Menikah,Pegawai Negeri,WNI,Palangka Raya,1987-08-08,7800000
Kalimantan Tengah,6209234567890311,Edi Santoso,Laki-laki,AB,Jl.Teuku Umar No.9,Bukit Batu,Palangka Raya Kota,Hindu,Menikah,Wiraswasta,WNI,Palangka Raya,1988-09-09,6500000
Kalimantan Tengah,6210234567890312,Fitriani Wijaya,Perempuan,O,Jl.Merdeka No.10,Jekan Raya,Palangka Raya Kota,Buddha,Menikah,Pelajar,WNI,Palangka Raya,1989-10-10,400000
Kalimantan Timur,6401234567890323,Qori Setiawan,Laki-laki,B,Jl.Teuku Umar No.1,Samarinda Kota,Samarinda Kota,Hindu,Menikah,Wiraswasta,WNI,Samarinda,1980-01-01,4700000
Kalimantan Timur,6402234567890324,Rina Wulandari,Perempuan,A,Jl.Merdeka No.2,Samarinda Ulu,Samarinda Kota,Buddha,Belum Menikah,Pelajar,WNI,Samarinda,1981-02-02,500000
Kalimantan Timur,6403234567890325,Sandi Pranoto,Laki-laki,O,Jl.Sudirman No.3,Samarinda Ilir,Samarinda Kota,Islam,Menikah,Petani,WNI,Samarinda,1982-03-03,1700000
Kalimantan Timur,6404234567890326,Tita Santoso,Perempuan,AB,Jl.Teuku Umar No.4,Samarinda Seberang,Samarinda Kota,Kristen,Belum Menikah,Pegawai Negeri,WNI,Samarinda,1983-04-04,7000000
Kalimantan Timur,6405234567890327,Umi Handayani,Perempuan,B,Jl.Merdeka No.5,Samarinda Ulu,Samarinda Kota,Hindu,Menikah,Wiraswasta,WNI,Samarinda,1984-05-05,14900000
Kalimantan Timur,6406234567890328,Vivi Setiawan,Perempuan,AB,Jl.Sudirman No.6,Samarinda Ilir,Samarinda Kota,Buddha,Belum Menikah,Pelajar,WNI,Samarinda,1985-06-06,400000
Kalimantan Timur,6407234567890329,Wahyu Pranoto,Laki-laki,O,Jl.Teuku Umar No.7,Samarinda Seberang,Samarinda Kota,Islam,Menikah,Petani,WNI,Samarinda,1986-07-07,1400000
Kalimantan Timur,6408234567890330,Xaverius Wijaya,Laki-laki,AB,Jl.Merdeka No.8,Samarinda Ulu,Samarinda Kota,Kristen,Belum Menikah,Pegawai Negeri,WNI,Samarinda,1987-08-08,3900000
Kalimantan Timur,6409234567890331,Yanti Setiawati,Perempuan,O,Jl.Sudirman No.9,Samarinda Ilir,Samarinda Kota,Hindu,Menikah,Wiraswasta,WNI,Samarinda,1988-09-09,11500000
Kalimantan Timur,6410234567890332,Zainal Arifin,Laki-laki,A,Jl.Teuku Umar No.10,Samarinda Seberang,Samarinda Kota,Buddha,Belum Menikah,Pelajar,WNI,Samarinda,1989-10-10,100000
Kalimantan Utara,6501234567890333,Ahmad Santoso,Laki-laki,B,Jl.Merdeka No.1,Tanjung Selor Barat,Bulungan Kota,Kristen,Menikah,Pegawai Negeri,WNI,Tanjung Selor,1980-01-01,6400000
Kalimantan Utara,6502234567890334,Ani Pranoto,Perempuan,AB,Jl.Sudirman No.2,Tanjung Selor Timur,Bulungan Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Tanjung Selor,1981-02-02,2000000
Kalimantan Utara,6503234567890335,Budi Wijaya,Laki-laki,O,Jl.Teuku Umar No.3,Tanjung Selor Utara,Bulungan Kota,Buddha,Menikah,Petani,WNI,Tanjung Selor,1982-03-03,1800000
Kalimantan Utara,6504234567890336,Citra Handayani,Perempuan,A,Jl.Merdeka No.4,Tanjung Selor Selatan,Bulungan Kota,Islam,Menikah,Pegawai Negeri,WNI,Tanjung Selor,1983-04-04,6100000
Kalimantan Utara,6505234567890337,Darma Setiawan,Laki-laki,AB,Jl.Sudirman No.5,Tanjung Selor Timur,Bulungan Kota,Kristen,Belum Menikah,Wiraswasta,WNI,Tanjung Selor,1984-05-05,2400000
Kalimantan Utara,6506234567890338,Edi Santoso,Laki-laki,O,Jl.Teuku Umar No.6,Tanjung Selor Utara,Bulungan Kota,Hindu,Menikah,Petani,WNI,Tanjung Selor,1985-06-06,1100000
Kalimantan Utara,6507234567890339,Fitriani Wijaya,Perempuan,B,Jl.Merdeka No.7,Tanjung Selor Selatan,Bulungan Kota,Buddha,Menikah,Pegawai Negeri,WNI,Tanjung Selor,1986-07-07,5300000
Kalimantan Utara,6508234567890340,Gandi Santoso,Laki-laki,AB,Jl.Sudirman No.8,Tanjung Selor Timur,Bulungan Kota,Islam,Belum Menikah,Wiraswasta,WNI,Tanjung Selor,1987-08-08,9800000
Kalimantan Utara,6509234567890341,Hadi Setiawan,Laki-laki,O,Jl.Teuku Umar No.9,Tanjung Selor Utara,Bulungan Kota,Kristen,Menikah,Petani,WNI,Tanjung Selor,1988-09-09,1500000
Kalimantan Utara,6510234567890342,Indah Wijaya,Perempuan,A,Jl.Merdeka No.10,Tanjung Selor Selatan,Bulungan Kota,Hindu,Belum Menikah,Pegawai Negeri,WNI,Tanjung Selor,1989-10-10,3300000
Kepulauan Riau,2101234567890173,Ani Pranoto,Perempuan,O,Jl.Merdeka No.1,Tanjung Pinang Timur,Tanjung Pinang Kota,Islam,Menikah,Petani,WNI,Tanjung Pinang,1980-01-01,1500000
Kepulauan Riau,2102234567890174,Budi Wijaya,Laki-laki,A,Jl.Sisingamangaraja No.2,Tanjung Pinang Selatan,Tanjung Pinang Kota,Kristen,Belum Menikah,Pegawai Negeri,WNI,Tanjung Pinang,1981-02-02,6600000
Kepulauan Riau,2103234567890175,Citra Handayani,Perempuan,B,Jl.Diponegoro No.3,Tanjung Pinang Barat,Tanjung Pinang Kota,Hindu,Menikah,Wiraswasta,WNI,Tanjung Pinang,1982-03-03,4000000
Kepulauan Riau,2104234567890176,Darma Setiawan,Laki-laki,AB,Jl.Gatot Subroto No.4,Tanjung Pinang Timur,Tanjung Pinang Kota,Buddha,Menikah,Pelajar,WNI,Tanjung Pinang,1983-04-04,0
Kepulauan Riau,2105234567890177,Edi Santoso,Laki-laki,O,Jl.Sudirman No.5,Tanjung Pinang Selatan,Tanjung Pinang Kota,Islam,Belum Menikah,Petani,WNI,Tanjung Pinang,1984-05-05,2300000
Kepulauan Riau,2106234567890178,Fitriani Wijaya,Perempuan,A,Jl.Teuku Umar No.6,Tanjung Pinang Barat,Tanjung Pinang Kota,Kristen,Menikah,Pegawai Negeri,WNI,Tanjung Pinang,1985-06-06,3400000
Kepulauan Riau,2107234567890179,Gandi Santoso,Laki-laki,B,Jl.Kartini No.7,Tanjung Pinang Selatan,Tanjung Pinang Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Tanjung Pinang,1986-07-07,5200000
Kepulauan Riau,2108234567890180,Hadi Setiawan,Laki-laki,AB,Jl.Pattimura No.8,Tanjung Pinang Timur,Tanjung Pinang Kota,Buddha,Menikah,Pelajar,WNI,Tanjung Pinang,1987-08-08,100000
Kepulauan Riau,2109234567890181,Indah Wijaya,Perempuan,O,Jl.Imam Bonjol No.9,Tanjung Pinang Barat,Tanjung Pinang Kota,Islam,Menikah,Pegawai Swasta,WNI,Tanjung Pinang,1988-09-09,8500000
Kepulauan Riau,2110234567890182,Joko Santoso,Laki-laki,A,Jl.Ahmad Yani No.10,Tanjung Pinang Selatan,Tanjung Pinang Kota,Kristen,Belum Menikah,Wiraswasta,WNI,Tanjung Pinang,1989-10-10,6200000
Lampung,1801234567890203,Darma Setiawan,Laki-laki,A,Jl.Merdeka No.1,Rajabasa,Kedaton,Islam,Menikah,Petani,WNI,Bandar Lampung,1980-01-01,1600000
Lampung,1802234567890204,Edi Santoso,Laki-laki,O,Jl.Sisingamangaraja No.2,Sukarame,Kedaton,Kristen,Belum Menikah,Pegawai Negeri,WNI,Bandar Lampung,1981-02-02,6300000
Lampung,1803234567890205,Fitriani Wijaya,Perempuan,B,Jl.Diponegoro No.3,Kedamaian,Kedaton,Hindu,Menikah,Wiraswasta,WNI,Bandar Lampung,1982-03-03,12800000
Lampung,1804234567890206,Gandi Santoso,Laki-laki,AB,Jl.Gatot Subroto No.4,Kemiling,Kedaton,Buddha,Menikah,Pelajar,WNI,Bandar Lampung,1983-04-04,100000
Lampung,1805234567890207,Hadi Setiawan,Laki-laki,O,Jl.Sudirman No.5,Sukabumi,Kedaton,Islam,Belum Menikah,Petani,WNI,Bandar Lampung,1984-05-05,2500000
Lampung,1806234567890208,Indah Wijaya,Perempuan,A,Jl.Teuku Umar No.6,Rajabasa,Kedaton,Kristen,Menikah,Pegawai Negeri,WNI,Bandar Lampung,1985-06-06,7800000
Lampung,1807234567890209,Joko Santoso,Laki-laki,B,Jl.Kartini No.7,Sukaraja,Kedaton,Hindu,Belum Menikah,Wiraswasta,WNI,Bandar Lampung,1986-07-07,7100000
Lampung,1808234567890210,Kartika Handayani,Perempuan,AB,Jl.Pattimura No.8,Kemiling,Kedaton,Buddha,Menikah,Pelajar,WNI,Bandar Lampung,1987-08-08,500000
Lampung,1809234567890211,Larasati Wijaya,Perempuan,O,Jl.Imam Bonjol No.9,Kedamaian,Kedaton,Islam,Menikah,Pegawai Swasta,WNI,Bandar Lampung,1988-09-09,6400000
Lampung,1810234567890212,Mega Santoso,Perempuan,B,Jl.Ahmad Yani No.10,Kemiling,Kedaton,Kristen,Belum Menikah,Dokter,WNI,Bandar Lampung,1989-10-10,18200000
Maluku,8101234567890423,Indah Wijaya,Perempuan,A,Jl.Merdeka No.1,Ambon Kota,Ambon Kota,Hindu,Menikah,Wiraswasta,WNI,Ambon,1980-01-01,11500000
Maluku,8102234567890424,Joko Santoso,Laki-laki,B,Jl.Sudirman No.2,Ambon Kota,Ambon Kota,Buddha,Belum Menikah,Petani,WNI,Ambon,1981-02-02,2200000
Maluku,8103234567890425,Kartika Handayani,Perempuan,AB,Jl.Teuku Umar No.3,Ambon Kota,Ambon Kota,Islam,Menikah,Pegawai Negeri,WNI,Ambon,1982-03-03,6300000
Maluku,8104234567890426,Larasati Wijaya,Perempuan,O,Jl.Merdeka No.4,Ambon Kota,Ambon Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Ambon,1983-04-04,13500000
Maluku,8105234567890427,Mega Santoso,Perempuan,A,Jl.Sudirman No.5,Ambon Kota,Ambon Kota,Buddha,Menikah,Petani,WNI,Ambon,1984-05-05,1100000
Maluku,8106234567890428,Nadia Wijaya,Perempuan,AB,Jl.Teuku Umar No.6,Ambon Kota,Ambon Kota,Islam,Belum Menikah,Pegawai Negeri,WNI,Ambon,1985-06-06,4500000
Maluku,8107234567890429,Oscar Santoso,Laki-laki,O,Jl.Merdeka No.7,Ambon Kota,Ambon Kota,Hindu,Menikah,Wiraswasta,WNI,Ambon,1986-07-07,7700000
Maluku,8108234567890430,Putri Handayani,Perempuan,B,Jl.Sudirman No.8,Ambon Kota,Ambon Kota,Buddha,Belum Menikah,Petani,WNI,Ambon,1987-08-08,1000000
Maluku,8109234567890431,Qori Setiawan,Laki-laki,AB,Jl.Teuku Umar No.9,Ambon Kota,Ambon Kota,Islam,Menikah,Pegawai Negeri,WNI,Ambon,1988-09-09,5100000
Maluku,8110234567890432,Rina Wulandari,Perempuan,O,Jl.Merdeka No.10,Ambon Kota,Ambon Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Ambon,1989-10-10,2500000
Maluku Utara,8201234567890433,Sandi Pranoto,Laki-laki,A,Jl.Sudirman No.1,Ternate Kota,Ternate Kota,Islam,Menikah,Petani,WNI,Ternate,1980-01-01,2500000
Maluku Utara,8202234567890434,Tita Santoso,Perempuan,AB,Jl.Teuku Umar No.2,Ternate Kota,Ternate Kota,Hindu,Belum Menikah,Pegawai Negeri,WNI,Ternate,1981-02-02,4400000
Maluku Utara,8203234567890435,Umi Handayani,Perempuan,B,Jl.Merdeka No.3,Ternate Kota,Ternate Kota,Buddha,Menikah,Wiraswasta,WNI,Ternate,1982-03-03,7600000
Maluku Utara,8204234567890436,Vivi Setiawan,Perempuan,AB,Jl.Sudirman No.4,Ternate Kota,Ternate Kota,Islam,Belum Menikah,Petani,WNI,Ternate,1983-04-04,800000
Maluku Utara,8205234567890437,Wahyu Pranoto,Laki-laki,O,Jl.Teuku Umar No.5,Ternate Kota,Ternate Kota,Hindu,Menikah,Pegawai Negeri,WNI,Ternate,1984-05-05,3400000
Maluku Utara,8206234567890438,Xaverius Wijaya,Laki-laki,AB,Jl.Merdeka No.6,Ternate Kota,Ternate Kota,Buddha,Belum Menikah,Wiraswasta,WNI,Ternate,1985-06-06,3500000
Maluku Utara,8207234567890439,Yanti Setiawati,Perempuan,B,Jl.Sudirman No.7,Ternate Kota,Ternate Kota,Islam,Menikah,Petani,WNI,Ternate,1986-07-07,1500000
Maluku Utara,8208234567890440,Zainal Arifin,Laki-laki,AB,Jl.Teuku Umar No.8,Ternate Kota,Ternate Kota,Hindu,Belum Menikah,Pegawai Negeri,WNI,Ternate,1987-08-08,3400000
Maluku Utara,8209234567890441,Ahmad Santoso,Laki-laki,O,Jl.Merdeka No.9,Ternate Kota,Ternate Kota,Buddha,Menikah,Wiraswasta,WNI,Ternate,1988-09-09,2800000
Maluku Utara,8210234567890442,Ani Pranoto,Perempuan,A,Jl.Sudirman No.10,Ternate Kota,Ternate Kota,Islam,Belum Menikah,Petani,WNI,Ternate,1989-10-10,1800000
Nusa Tenggara Barat,5201234567890343,Joko Santoso,Laki-laki,B,Jl.Sudirman No.1,Mataram Kota,Mataram Kota,Buddha,Menikah,Petani,WNI,Mataram,1980-01-01,1000000
Nusa Tenggara Barat,5202234567890344,Kartika Handayani,Perempuan,AB,Jl.Teuku Umar No.2,Mataram Utara,Mataram Kota,Islam,Belum Menikah,Pegawai Negeri,WNI,Mataram,1981-02-02,6200000
Nusa Tenggara Barat,5203234567890345,Larasati Wijaya,Perempuan,O,Jl.Merdeka No.3,Mataram Selatan,Mataram Kota,Hindu,Menikah,Wiraswasta,WNI,Mataram,1982-03-03,8000000
Nusa Tenggara Barat,5204234567890346,Mega Santoso,Perempuan,AB,Jl.Sudirman No.4,Mataram Kota,Mataram Kota,Buddha,Belum Menikah,Petani,WNI,Mataram,1983-04-04,1600000
Nusa Tenggara Barat,5205234567890347,Nadia Wijaya,Perempuan,B,Jl.Teuku Umar No.5,Mataram Kota,Mataram Kota,Islam,Menikah,Pegawai Negeri,WNI,Mataram,1984-05-05,7200000
Nusa Tenggara Barat,5206234567890348,Oscar Santoso,Laki-laki,AB,Jl.Merdeka No.6,Mataram Kota,Mataram Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Mataram,1985-06-06,14400000
Nusa Tenggara Barat,5207234567890349,Putri Handayani,Perempuan,O,Jl.Sudirman No.7,Mataram Kota,Mataram Kota,Buddha,Menikah,Petani,WNI,Mataram,1986-07-07,1400000
Nusa Tenggara Barat,5208234567890350,Qori Setiawan,Laki-laki,B,Jl.Teuku Umar No.8,Mataram Kota,Mataram Kota,Islam,Menikah,Pegawai Negeri,WNI,Mataram,1987-08-08,6400000
Nusa Tenggara Barat,5209234567890351,Rina Wulandari,Perempuan,A,Jl.Merdeka No.9,Mataram Kota,Mataram Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Mataram,1988-09-09,5300000
Nusa Tenggara Barat,5210234567890352,Sandi Pranoto,Laki-laki,AB,Jl.Sudirman No.10,Mataram Kota,Mataram Kota,Buddha,Menikah,Petani,WNI,Mataram,1989-10-10,2300000
Nusa Tenggara Timur,5301234567890353,Tita Santoso,Perempuan,O,Jl.Teuku Umar No.1,Kupang Kota,Kupang Kota,Islam,Menikah,Pegawai Negeri,WNI,Kupang,1980-01-01,4500000
Nusa Tenggara Timur,5302234567890354,Umi Handayani,Perempuan,A,Jl.Merdeka No.2,Kupang Kota,Kupang Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Kupang,1981-02-02,14100000
Nusa Tenggara Timur,5303234567890355,Vivi Setiawan,Perempuan,AB,Jl.Sudirman No.3,Kupang Kota,Kupang Kota,Buddha,Menikah,Petani,WNI,Kupang,1982-03-03,2100000
Nusa Tenggara Timur,5304234567890356,Wahyu Pranoto,Laki-laki,O,Jl.Teuku Umar No.4,Kupang Kota,Kupang Kota,Kristen,Menikah,Pegawai Negeri,WNI,Kupang,1983-04-04,4200000
Nusa Tenggara Timur,5305234567890357,Xaverius Wijaya,Laki-laki,AB,Jl.Merdeka No.5,Kupang Kota,Kupang Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Kupang,1984-05-05,4400000
Nusa Tenggara Timur,5306234567890358,Yanti Setiawati,Perempuan,B,Jl.Sudirman No.6,Kupang Kota,Kupang Kota,Buddha,Menikah,Petani,WNI,Kupang,1985-06-06,1100000
Nusa Tenggara Timur,5307234567890359,Zainal Arifin,Laki-laki,A,Jl.Teuku Umar No.7,Kupang Kota,Kupang Kota,Islam,Menikah,Pegawai Negeri,WNI,Kupang,1986-07-07,7200000
Nusa Tenggara Timur,5308234567890360,Ahmad Santoso,Laki-laki,O,Jl.Merdeka No.8,Kupang Kota,Kupang Kota,Kristen,Belum Menikah,Wiraswasta,WNI,Kupang,1987-08-08,13000000
Nusa Tenggara Timur,5309234567890361,Ani Pranoto,Perempuan,AB,Jl.Sudirman No.9,Kupang Kota,Kupang Kota,Hindu,Menikah,Petani,WNI,Kupang,1988-09-09,1900000
Nusa Tenggara Timur,5310234567890362,Budi Wijaya,Laki-laki,B,Jl.Teuku Umar No.10,Kupang Kota,Kupang Kota,Buddha,Belum Menikah,Pegawai Negeri,WNI,Kupang,1989-10-10,5700000
Papua,9101234567890443,Budi Wijaya,Laki-laki,B,Jl.Teuku Umar No.1,Jayapura Kota,Jayapura Kota,Hindu,Menikah,Pegawai Negeri,WNI,Jayapura,1980-01-01,5600000
Papua,9102234567890444,Citra Handayani,Perempuan,AB,Jl.Merdeka No.2,Jayapura Kota,Jayapura Kota,Buddha,Belum Menikah,Wiraswasta,WNI,Jayapura,1981-02-02,13900000
Papua,9103234567890445,Darma Setiawan,Laki-laki,O,Jl.Sudirman No.3,Jayapura Kota,Jayapura Kota,Islam,Menikah,Petani,WNI,Jayapura,1982-03-03,900000
Papua,9104234567890446,Edi Santoso,Laki-laki,A,Jl.Teuku Umar No.4,Jayapura Kota,Jayapura Kota,Hindu,Belum Menikah,Pegawai Negeri,WNI,Jayapura,1983-04-04,7300000
Papua,9105234567890447,Fitriani Wijaya,Perempuan,AB,Jl.Merdeka No.5,Jayapura Kota,Jayapura Kota,Buddha,Menikah,Wiraswasta,WNI,Jayapura,1984-05-05,4500000
Papua,9106234567890448,Gandi Santoso,Laki-laki,B,Jl.Sudirman No.6,Jayapura Kota,Jayapura Kota,Islam,Menikah,Petani,WNI,Jayapura,1985-06-06,900000
Papua,9107234567890449,Hadi Setiawan,Laki-laki,AB,Jl.Teuku Umar No.7,Jayapura Kota,Jayapura Kota,Hindu,Belum Menikah,Pegawai Negeri,WNI,Jayapura,1986-07-07,5500000
Papua,9108234567890450,Indah Wijaya,Perempuan,O,Jl.Merdeka No.8,Jayapura Kota,Jayapura Kota,Buddha,Menikah,Wiraswasta,WNI,Jayapura,1987-08-08,10600000
Papua,9109234567890451,Joko Santoso,Laki-laki,A,Jl.Sudirman No.9,Jayapura Kota,Jayapura Kota,Islam,Belum Menikah,Petani,WNI,Jayapura,1988-09-09,1100000
Papua,9110234567890452,Kartika Handayani,Perempuan,B,Jl.Teuku Umar No.10,Jayapura Kota,Jayapura Kota,Hindu,Menikah,Pegawai Negeri,WNI,Jayapura,1989-10-10,4500000
Papua Barat,9201234567890453,Larasati Wijaya,Perempuan,AB,Jl.Merdeka No.1,Manokwari Kota,Manokwari Kota,Buddha,Belum Menikah,Wiraswasta,WNI,Manokwari,1980-01-01,6900000
Papua Barat,9202234567890454,Mega Santoso,Perempuan,O,Jl.Sudirman No.2,Manokwari Kota,Manokwari Kota,Islam,Menikah,Petani,WNI,Manokwari,1981-02-02,1400000
Papua Barat,9203234567890455,Nadia Wijaya,Perempuan,A,Jl.Teuku Umar No.3,Manokwari Kota,Manokwari Kota,Hindu,Belum Menikah,Pegawai Negeri,WNI,Manokwari,1982-03-03,6400000
Papua Barat,9204234567890456,Oscar Santoso,Laki-laki,B,Jl.Merdeka No.4,Manokwari Kota,Manokwari Kota,Buddha,Menikah,Wiraswasta,WNI,Manokwari,1983-04-04,13400000
Papua Barat,9205234567890457,Putri Handayani,Perempuan,AB,Jl.Sudirman No.5,Manokwari Kota,Manokwari Kota,Islam,Belum Menikah,Petani,WNI,Manokwari,1984-05-05,1200000
Papua Barat,9206234567890458,Qori Setiawan,Laki-laki,O,Jl.Teuku Umar No.6,Manokwari Kota,Manokwari Kota,Hindu,Menikah,Pegawai Negeri,WNI,Manokwari,1985-06-06,5700000
Papua Barat,9207234567890459,Rina Wulandari,Perempuan,A,Jl.Merdeka No.7,Manokwari Kota,Manokwari Kota,Buddha,Belum Menikah,Wiraswasta,WNI,Manokwari,1986-07-07,6600000
Papua Barat,9208234567890460,Sandi Pranoto,Laki-laki,AB,Jl.Sudirman No.8,Manokwari Kota,Manokwari Kota,Islam,Menikah,Petani,WNI,Manokwari,1987-08-08,1600000
Papua Barat,9209234567890461,Tita Santoso,Perempuan,B,Jl.Teuku Umar No.9,Manokwari Kota,Manokwari Kota,Hindu,Belum Menikah,Pegawai Negeri,WNI,Manokwari,1988-09-09,5900000
Papua Barat,9210234567890462,Umi Handayani,Perempuan,O,Jl.Merdeka No.10,Manokwari Kota,Manokwari Kota,Buddha,Menikah,Wiraswasta,WNI,Manokwari,1989-10-10,8300000
Riau,1401234567890163,Vivi Setiawan,Perempuan,A,Jl.Merdeka No.1,Pekanbaru Kota,Pekanbaru Kota,Islam,Menikah,Petani,WNI,Pekanbaru,1980-01-01,1000000
Riau,1402234567890164,Wahyu Pranoto,Laki-laki,B,Jl.Sisingamangaraja No.2,Pekanbaru Barat,Pekanbaru Barat,Kristen,Belum Menikah,Pegawai Negeri,WNI,Pekanbaru,1981-02-02,5800000
Riau,1403234567890165,Xaverius Wijaya,Laki-laki,AB,Jl.Diponegoro No.3,Pekanbaru Timur,Pekanbaru Timur,Hindu,Menikah,Wiraswasta,WNI,Pekanbaru,1982-03-03,4500000
Riau,1404234567890166,Yanti Setiawati,Perempuan,O,Jl.Gatot Subroto No.4,Pekanbaru Selatan,Pekanbaru Selatan,Buddha,Menikah,Pelajar,WNI,Pekanbaru,1983-04-04,0
Riau,1405234567890167,Zainal Arifin,Laki-laki,A,Jl.Sudirman No.5,Pekanbaru Kota,Pekanbaru Kota,Islam,Belum Menikah,Petani,WNI,Pekanbaru,1984-05-05,2500000
Riau,1406234567890168,Ahmad Santoso,Laki-laki,B,Jl.Teuku Umar No.6,Pekanbaru Barat,Pekanbaru Barat,Kristen,Menikah,Pegawai Negeri,WNI,Pekanbaru,1985-06-06,3000000
Riau,1407234567890169,Ani Pranoto,Perempuan,AB,Jl.Kartini No.7,Pekanbaru Timur,Pekanbaru Timur,Hindu,Belum Menikah,Wiraswasta,WNI,Pekanbaru,1986-07-07,4300000
Riau,1408234567890170,Budi Wijaya,Laki-laki,O,Jl.Imam Bonjol No.8,Pekanbaru Selatan,Pekanbaru Selatan,Buddha,Menikah,Pelajar,WNI,Pekanbaru,1987-08-08,100000
Riau,1409234567890171,Citra Handayani,Perempuan,A,Jl.Ahmad Yani No.9,Pekanbaru Kota,Pekanbaru Kota,Islam,Belum Menikah,Pegawai Swasta,WNI,Pekanbaru,1988-09-09,4600000
Riau,1410234567890172,Darma Setiawan,Laki-laki,B,Jl.Pattimura No.10,Pekanbaru Barat,Pekanbaru Barat,Kristen,Menikah,Dokter,WNI,Pekanbaru,1989-10-10,18400000
Sulawesi Barat,7601234567890413,Zainal Arifin,Laki-laki,O,Jl.Teuku Umar No.1,Mamuju Kota,Mamuju Kota,Islam,Menikah,Pegawai Negeri,WNI,Mamuju,1980-01-01,6100000
Sulawesi Barat,7602234567890414,Ahmad Santoso,Laki-laki,A,Jl.Merdeka No.2,Mamuju Kota,Mamuju Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Mamuju,1981-02-02,14300000
Sulawesi Barat,7603234567890415,Ani Pranoto,Perempuan,AB,Jl.Sudirman No.3,Mamuju Kota,Mamuju Kota,Buddha,Menikah,Petani,WNI,Mamuju,1982-03-03,1400000
Sulawesi Barat,7604234567890416,Budi Wijaya,Laki-laki,B,Jl.Teuku Umar No.4,Mamuju Kota,Mamuju Kota,Islam,Belum Menikah,Pegawai Negeri,WNI,Mamuju,1983-04-04,5500000
Sulawesi Barat,7605234567890417,Citra Handayani,Perempuan,O,Jl.Merdeka No.5,Mamuju Kota,Mamuju Kota,Hindu,Menikah,Wiraswasta,WNI,Mamuju,1984-05-05,3500000
Sulawesi Barat,7606234567890418,Darma Setiawan,Laki-laki,AB,Jl.Sudirman No.6,Mamuju Kota,Mamuju Kota,Buddha,Belum Menikah,Petani,WNI,Mamuju,1985-06-06,1300000
